,time,label,value,group
94,14,y4,3.2105263157894735,y_group
95,15,y4,3.3684210526315788,y_group
96,16,y4,3.526315789473684,y_group
97,17,y4,3.6842105263157894,y_group
98,18,y4,3.8421052631578947,y_group
99,19,y4,4.0,y_group
100,0,y5,1.0,y_group
101,1,y5,1.2105263157894737,y_group
102,2,y5,1.4210526315789473,y_group
103,3,y5,1.631578947368421,y_group
104,4,y5,1.8421052631578947,y_group
105,5,y5,2.052631578947368,y_group
106,6,y5,2.263157894736842,y_group
107,7,y5,2.473684210526316,y_group
108,8,y5,2.6842105263157894,y_group
109,9,y5,2.894736842105263,y_group
110,10,y5,3.1052631578947367,y_group
111,11,y5,3.3157894736842106,y_group
112,12,y5,3.526315789473684,y_group
113,13,y5,3.7368421052631575,y_group
114,14,y5,3.9473684210526314,y_group
115,15,y5,4.157894736842105,y_group
116,16,y5,4.368421052631579,y_group
117,17,y5,4.578947368421052,y_group
118,18,y5,4.789473684210526,y_group
119,19,y5,5.0,y_group
120,0,y6,1.0,y_group
121,1,y6,1.263157894736842,y_group
122,2,y6,1.526315789473684,y_group
123,3,y6,1.7894736842105263,y_group
124,4,y6,2.052631578947368,y_group
125,5,y6,2.3157894736842106,y_group
126,6,y6,2.5789473684210527,y_group
127,7,y6,2.8421052631578947,y_group
128,8,y6,3.1052631578947367,y_group
129,9,y6,3.3684210526315788,y_group
130,10,y6,3.631578947368421,y_group
131,11,y6,3.894736842105263,y_group
132,12,y6,4.157894736842105,y_group
133,13,y6,4.421052631578947,y_group
134,14,y6,4.684210526315789,y_group
135,15,y6,4.947368421052632,y_group
136,16,y6,5.2105263157894735,y_group
137,17,y6,5.473684210526316,y_group
138,18,y6,5.7368421052631575,y_group
139,19,y6,6.0,y_group
140,0,y7,1.0,y_group
141,1,y7,1.3157894736842106,y_group
142,2,y7,1.631578947368421,y_group
143,3,y7,1.9473684210526314,y_group
144,4,y7,2.263157894736842,y_group
145,5,y7,2.5789473684210527,y_group
146,6,y7,2.894736842105263,y_group
147,7,y7,3.2105263157894735,y_group
148,8,y7,3.526315789473684,y_group
149,9,y7,3.8421052631578947,y_group
150,10,y7,4.157894736842105,y_group
151,11,y7,4.473684210526315,y_group
152,12,y7,4.789473684210526,y_group
153,13,y7,5.105263157894736,y_group
154,14,y7,5.421052631578947,y_group
155,15,y7,5.7368421052631575,y_group
156,16,y7,6.052631578947368,y_group
157,17,y7,6.368421052631579,y_group
158,18,y7,6.684210526315789,y_group
159,19,y7,7.0,y_group
160,0,y8,1.0,y_group
161,1,y8,1.368421052631579,y_group
162,2,y8,1.736842105263158,y_group
163,3,y8,2.1052631578947367,y_group
164,4,y8,2.473684210526316,y_group
165,5,y8,2.8421052631578947,y_group
166,6,y8,3.2105263157894735,y_group
167,7,y8,3.5789473684210527,y_group
168,8,y8,3.9473684210526314,y_group
169,9,y8,4.315789473684211,y_group
170,10,y8,4.684210526315789,y_group
171,11,y8,5.052631578947368,y_group
172,12,y8,5.421052631578947,y_group
173,13,y8,5.789473684210526,y_group
174,14,y8,6.157894736842105,y_group
175,15,y8,6.526315789473684,y_group
176,16,y8,6.894736842105263,y_group
177,17,y8,7.263157894736842,y_group
178,18,y8,7.63157894736842,y_group
179,19,y8,8.0,y_group
180,0,y9,1.0,y_group
181,1,y9,1.4210526315789473,y_group
182,2,y9,1.8421052631578947,y_group
183,3,y9,2.263157894736842,y_group
184,4,y9,2.6842105263157894,y_group
185,5,y9,3.1052631578947367,y_group
186,6,y9,3.526315789473684,y_group
187,7,y9,3.9473684210526314,y_group
188,8,y9,4.368421052631579,y_group
189,9,y9,4.789473684210526,y_group
190,10,y9,5.2105263157894735,y_group
191,11,y9,5.631578947368421,y_group
192,12,y9,6.052631578947368,y_group
193,13,y9,6.473684210526315,y_group
194,14,y9,6.894736842105263,y_group
195,15,y9,7.315789473684211,y_group
196,16,y9,7.7368421052631575,y_group
197,17,y9,8.157894736842104,y_group
198,18,y9,8.578947368421051,y_group
199,19,y9,9.0,y_group
0,0,z0,9.0,z_group
1,1,z0,8.526315789473685,z_group
2,2,z0,8.052631578947368,z_group
3,3,z0,7.578947368421053,z_group
4,4,z0,7.105263157894737,z_group
5,5,z0,6.631578947368421,z_group
6,6,z0,6.157894736842105,z_group
7,7,z0,5.684210526315789,z_group
8,8,z0,5.210526315789474,z_group
9,9,z0,4.736842105263158,z_group
10,10,z0,4.2631578947368425,z_group
11,11,z0,3.7894736842105265,z_group
12,12,z0,3.3157894736842106,z_group
13,13,z0,2.8421052631578947,z_group
14,14,z0,2.3684210526315796,z_group
15,15,z0,1.8947368421052637,z_group
16,16,z0,1.4210526315789478,z_group
17,17,z0,0.9473684210526319,z_group
18,18,z0,0.4736842105263168,z_group
19,19,z0,0.0,z_group
20,0,z1,9.0,z_group
21,1,z1,8.578947368421053,z_group
22,2,z1,8.157894736842106,z_group
23,3,z1,7.7368421052631575,z_group
24,4,z1,7.315789473684211,z_group
25,5,z1,6.894736842105264,z_group
26,6,z1,6.473684210526316,z_group
27,7,z1,6.052631578947368,z_group
28,8,z1,5.631578947368421,z_group
29,9,z1,5.210526315789474,z_group
30,10,z1,4.7894736842105265,z_group
31,11,z1,4.368421052631579,z_group
32,12,z1,3.947368421052632,z_group
33,13,z1,3.526315789473685,z_group
34,14,z1,3.105263157894737,z_group
35,15,z1,2.6842105263157894,z_group
36,16,z1,2.2631578947368425,z_group
37,17,z1,1.8421052631578956,z_group
38,18,z1,1.4210526315789478,z_group
39,19,z1,1.0,z_group
40,0,z2,9.0,z_group
41,1,z2,8.631578947368421,z_group
42,2,z2,8.263157894736842,z_group
43,3,z2,7.894736842105264,z_group
44,4,z2,7.526315789473684,z_group
45,5,z2,7.157894736842105,z_group
46,6,z2,6.7894736842105265,z_group
47,7,z2,6.421052631578947,z_group
48,8,z2,6.052631578947368,z_group
49,9,z2,5.684210526315789,z_group
50,10,z2,5.315789473684211,z_group
51,11,z2,4.947368421052632,z_group
52,12,z2,4.578947368421053,z_group
53,13,z2,4.210526315789474,z_group
54,14,z2,3.8421052631578947,z_group
55,15,z2,3.473684210526316,z_group
56,16,z2,3.105263157894737,z_group
57,17,z2,2.7368421052631584,z_group
58,18,z2,2.3684210526315796,z_group
59,19,z2,2.0,z_group
60,0,z3,9.0,z_group
61,1,z3,8.68421052631579,z_group
62,2,z3,8.368421052631579,z_group
63,3,z3,8.052631578947368,z_group
64,4,z3,7.7368421052631575,z_group
65,5,z3,7.421052631578947,z_group
66,6,z3,7.105263157894737,z_group
67,7,z3,6.7894736842105265,z_group
68,8,z3,6.473684210526316,z_group
69,9,z3,6.157894736842105,z_group
70,10,z3,5.842105263157895,z_group
71,11,z3,5.526315789473685,z_group
72,12,z3,5.210526315789474,z_group
73,13,z3,4.894736842105264,z_group
74,14,z3,4.578947368421053,z_group
75,15,z3,4.2631578947368425,z_group
76,16,z3,3.947368421052632,z_group
77,17,z3,3.6315789473684212,z_group
78,18,z3,3.3157894736842106,z_group
79,19,z3,3.0,z_group
80,0,z4,9.0,z_group
81,1,z4,8.736842105263158,z_group
82,2,z4,8.473684210526315,z_group
83,3,z4,8.210526315789474,z_group
84,4,z4,7.947368421052632,z_group
85,5,z4,7.684210526315789,z_group
86,6,z4,7.421052631578947,z_group
87,7,z4,7.157894736842105,z_group
88,8,z4,6.894736842105264,z_group
89,9,z4,6.631578947368421,z_group
90,10,z4,6.368421052631579,z_group
91,11,z4,6.105263157894737,z_group
92,12,z4,5.842105263157895,z_group
93,13,z4,5.578947368421053,z_group
94,14,z4,5.315789473684211,z_group
95,15,z4,5.052631578947368,z_group
96,16,z4,4.7894736842105265,z_group
97,17,z4,4.526315789473684,z_group
98,18,z4,4.2631578947368425,z_group
99,19,z4,4.0,z_group
100,0,z5,9.0,z_group
101,1,z5,8.789473684210526,z_group
102,2,z5,8.578947368421053,z_group
103,3,z5,8.368421052631579,z_group
104,4,z5,8.157894736842106,z_group
105,5,z5,7.947368421052632,z_group
106,6,z5,7.7368421052631575,z_group
107,7,z5,7.526315789473684,z_group
108,8,z5,7.315789473684211,z_group
109,9,z5,7.105263157894737,z_group
110,10,z5,6.894736842105264,z_group
111,11,z5,6.684210526315789,z_group
112,12,z5,6.473684210526316,z_group
113,13,z5,6.2631578947368425,z_group
114,14,z5,6.052631578947368,z_group
115,15,z5,5.842105263157895,z_group
116,16,z5,5.631578947368421,z_group
117,17,z5,5.421052631578948,z_group
118,18,z5,5.210526315789474,z_group
119,19,z5,5.0,z_group
120,0,z6,9.0,z_group
121,1,z6,8.842105263157896,z_group
122,2,z6,8.68421052631579,z_group
123,3,z6,8.526315789473685,z_group
124,4,z6,8.368421052631579,z_group
125,5,z6,8.210526315789474,z_group
126,6,z6,8.052631578947368,z_group
127,7,z6,7.894736842105264,z_group
128,8,z6,7.7368421052631575,z_group
129,9,z6,7.578947368421053,z_group
130,10,z6,7.421052631578947,z_group
131,11,z6,7.2631578947368425,z_group
132,12,z6,7.105263157894737,z_group
133,13,z6,6.947368421052632,z_group
134,14,z6,6.7894736842105265,z_group
135,15,z6,6.631578947368421,z_group
136,16,z6,6.473684210526316,z_group
137,17,z6,6.315789473684211,z_group
138,18,z6,6.157894736842105,z_group
139,19,z6,6.0,z_group
140,0,z7,9.0,z_group
141,1,z7,8.894736842105264,z_group
142,2,z7,8.789473684210526,z_group
143,3,z7,8.68421052631579,z_group
144,4,z7,8.578947368421053,z_group
145,5,z7,8.473684210526315,z_group
146,6,z7,8.368421052631579,z_group
147,7,z7,8.263157894736842,z_group
148,8,z7,8.157894736842106,z_group
149,9,z7,8.052631578947368,z_group
150,10,z7,7.947368421052632,z_group
151,11,z7,7.842105263157895,z_group
152,12,z7,7.7368421052631575,z_group
153,13,z7,7.631578947368421,z_group
154,14,z7,7.526315789473684,z_group
155,15,z7,7.421052631578947,z_group
156,16,z7,7.315789473684211,z_group
157,17,z7,7.210526315789474,z_group
158,18,z7,7.105263157894737,z_group
159,19,z7,7.0,z_group
160,0,z8,9.0,z_group
161,1,z8,8.947368421052632,z_group
162,2,z8,8.894736842105264,z_group
163,3,z8,8.842105263157896,z_group
164,4,z8,8.789473684210526,z_group
165,5,z8,8.736842105263158,z_group
166,6,z8,8.68421052631579,z_group
167,7,z8,8.631578947368421,z_group
168,8,z8,8.578947368421053,z_group
169,9,z8,8.526315789473685,z_group
170,10,z8,8.473684210526315,z_group
171,11,z8,8.421052631578947,z_group
172,12,z8,8.368421052631579,z_group
173,13,z8,8.31578947368421,z_group
174,14,z8,8.263157894736842,z_group
175,15,z8,8.210526315789474,z_group
176,16,z8,8.157894736842106,z_group
177,17,z8,8.105263157894736,z_group
178,18,z8,8.052631578947368,z_group
179,19,z8,8.0,z_group
180,0,z9,9.0,z_group
181,1,z9,9.0,z_group
182,2,z9,9.0,z_group
183,3,z9,9.0,z_group
184,4,z9,9.0,z_group
185,5,z9,9.0,z_group
186,6,z9,9.0,z_group
187,7,z9,9.0,z_group
188,8,z9,9.0,z_group
189,9,z9,9.0,z_group
190,10,z9,9.0,z_group
191,11,z9,9.0,z_group
192,12,z9,9.0,z_group
193,13,z9,9.0,z_group
194,14,z9,9.0,z_group
195,15,z9,9.0,z_group
196,16,z9,9.0,z_group
197,17,z9,9.0,z_group
198,18,z9,9.0,z_group
199,19,z9,9.0,z_group
